Code INSEE,Code Postal,Commune,R̩gion,geo_point_2d
94003,94110,ARCUEIL,ILE-DE-FRANCE,"48.8058803597,2.33351024984"
91377,91300,MASSY,ILE-DE-FRANCE,"48.7277896426,2.27513131903"
75110,75010,PARIS-10E-ARRONDISSEMENT,ILE-DE-FRANCE,"48.8760285569,2.36111290456"
93013,93350,LE BOURGET,ILE-DE-FRANCE,"48.9361847458,2.42827855593"
91477,91120,PALAISEAU,ILE-DE-FRANCE,"48.7146765876,2.22881488083"
93007,93150,LE BLANC-MESNIL,ILE-DE-FRANCE,"48.9395475536,2.46112148528"
75103,75003,PARIS-3E-ARRONDISSEMENT,ILE-DE-FRANCE,"48.8630541318,2.35936105897"
92002,92160,ANTONY,ILE-DE-FRANCE,"48.7503412602,2.2993268102"
93029,93700,DRANCY,ILE-DE-FRANCE,"48.9234246259,2.44492688692"
93005,93600,AULNAY-SOUS-BOIS,ILE-DE-FRANCE,"48.9458384367,2.49329041687"
78575,78470,SAINT-REMY-LES-CHEVREUSE,ILE-DE-FRANCE,"48.703873758,2.07898924956"
75105,75005,PARIS-5E-ARRONDISSEMENT,ILE-DE-FRANCE,"48.8445086596,2.34985938556"
92014,92340,BOURG-LA-REINE,ILE-DE-FRANCE,"48.7799073627,2.31643010763"
93027,93120,LA COURNEUVE,ILE-DE-FRANCE,"48.9322569546,2.39978064801"
94037,94250,GENTILLY,ILE-DE-FRANCE,"48.8132044389,2.34420659702"
91122,91440,BURES-SUR-YVETTE,ILE-DE-FRANCE,"48.6929979919,2.15838686116"
93078,93420,VILLEPINTE,ILE-DE-FRANCE,"48.9590202538,2.53630634206"
91272,91190,GIF-SUR-YVETTE,ILE-DE-FRANCE,"48.6988273634,2.12788365005"
95527,95700,ROISSY-EN-FRANCE,ILE-DE-FRANCE,"49.00660444,2.51417743519"
93066,93200/93210,SAINT-DENIS,ILE-DE-FRANCE,"48.9295650455,2.3592429975"
91471,91400,ORSAY,ILE-DE-FRANCE,"48.7004093953,2.18737051177"
75114,75014,PARIS-14E-ARRONDISSEMENT,ILE-DE-FRANCE,"48.8289932116,2.32710088326"
